     96.82,     97.97,     96.42,     96.67,     93.08,56239800.00
    104.27,    104.35,    102.75,    102.95,     99.12,92344800.00
    102.83,    104.45,    102.82,    104.34,    100.46,39869800.00
    104.19,    104.55,    103.68,    104.21,    100.33,27733700.00
    104.41,    106.15,    104.41,    106.05,    102.11,38167900.00
    106.05,    106.07,    104.00,    104.48,    100.59,33816600.00
    104.81,    105.84,    104.77,    105.79,    101.86,30202600.00
    105.58,    106.00,    105.28,    105.87,    102.49,27408700.00
    106.27,    107.65,    106.18,    107.48,    104.04,40553400.00
    107.52,    108.37,    107.16,    108.37,    104.91,28037200.00
    108.23,    108.94,    108.01,    108.81,    105.33,26315200.00
    108.71,    108.90,    107.76,    108.00,    104.55,24008500.00
    108.52,    108.93,    107.85,    107.93,    104.48,27484500.00
    107.78,    108.44,    107.78,    108.18,    104.72,18660400.00
    108.14,    109.54,    108.08,    109.48,    105.98,25868200.00
    109.63,    110.23,    109.21,    109.38,    105.88,33794400.00
    109.10,    109.37,    108.34,    109.22,    105.73,25356000.00
    109.23,    109.60,    109.02,    109.08,    105.59,21984700.00
    108.77,    109.69,    108.36,    109.36,    105.86,25368100.00
    108.86,    109.10,    107.85,    108.51,    105.04,25820200.00
    108.59,    109.32,    108.53,    108.85,    105.37,21257700.00
    108.57,    108.75,    107.68,    108.03,    104.58,23675100.00
    107.39,    107.88,    106.68,    107.57,    104.13,25086200.00
    107.41,    107.95,    106.31,    106.94,    103.52,27766300.00
    106.62,    107.44,    106.29,    106.82,    103.40,24970300.00
    105.80,    106.50,    105.50,    106.00,    102.61,24863900.00
    105.66,    106.57,    105.64,    106.10,    102.71,29662400.00
    106.14,    106.80,    105.62,    106.73,    103.32,26701500.00
    107.70,    108.00,    106.82,    107.73,    104.29,26802500.00
    107.90,    108.30,    107.51,    107.70,    104.26,26880400.00
    107.83,    108.76,    107.07,    108.36,    104.90,42364300.00
    107.25,    107.27,    105.24,    105.52,    102.15,53002000.00
    104.64,    105.72,    103.13,    103.13,     99.83,46557000.00
    102.65,    105.72,    102.53,    105.44,    102.07,45292800.00
    107.51,    108.79,    107.24,    107.95,    104.50,62176200.00
